chebi	name
CHEBI:9754	trizma acetate
CHEBI:32368	undecanoate (11:0)
CHEBI:2229	2-dehydro-d-gluconate
CHEBI:15751	adp-d-glucose
CHEBI:15678	allantoin
CHEBI:30754	anthranilate
CHEBI:15422	atp
CHEBI:17239	cdp
CHEBI:16732	cdp-ethanolamine
CHEBI:41321	cholesteryl sulfate
CHEBI:17287	creatine phosphate
CHEBI:17489	cyclic-amp
CHEBI:16938	d-glucono-delta-lactone-6-phosphate
CHEBI:16497	dgtp
CHEBI:17013	dtmp
CHEBI:37736	fructose-1,6-bisphosphate
CHEBI:17552	gdp
CHEBI:17345	gmp
CHEBI:17808	idp
CHEBI:17202	imp
CHEBI:16881	indole
CHEBI:16446	n-acetyl-glucosamine-1-phosphate
CHEBI:18009	nadp+
CHEBI:17052	shikimate-3-phosphate
CHEBI:17659	udp
CHEBI:52249	udp-d-glucose
CHEBI:16264	udp-n-acetyl-glucosamine
CHEBI:16695	ump
CHEBI:15713	utp
CHEBI:15698	2'-deoxycytidine
CHEBI:15918	2'-deoxycytidine 5'-monophosphate
CHEBI:27823	5-hydroxyindoleacetate
CHEBI:27844	adenosine-2',3'-cyclic monophosphate
CHEBI:16755	chenodeoxycholate
CHEBI:68830	decanoylcarnitine
CHEBI:36274	glycochenodeoxycholate
CHEBI:6121	ketamine
CHEBI:18344	kynurenate
CHEBI:17312	n(1)-acetylspermine
CHEBI:222828	n-ethylglycinexylidide*
CHEBI:39246	nonadecanoate (19:0)
CHEBI:69187	palmitate, methyl ester
CHEBI:30959	pyridoxate
CHEBI:16634	raffinose
CHEBI:9410	taurodeoxycholate
CHEBI:29009	1-methylhistamine
CHEBI:17033	biliverdin
CHEBI:27732	caffeine
CHEBI:70984	isovalerylglycine
CHEBI:25858	paraxanthine
CHEBI:15555	prostaglandin d2
CHEBI:15694	s-lactoylglutathione
CHEBI:28728	thromboxane b2
CHEBI:68449	1,7-dimethylurate
CHEBI:1883	4-vinylphenol sulfate
CHEBI:15355	acetylcholine
CHEBI:30887	isocitrate
CHEBI:151	isocitrate
CHEBI:17540	methyl-alpha-glucopyranoside
CHEBI:17768	n-acetylputrescine
CHEBI:28790	serotonin (5ht)
